Ticker,Name,Volume,Price,Change
ABBEYBDS,Abbey Mortgage Bank Plc,9335.0,2.5,0.0
ABCTRANS,Associated Bus Company,7650.0,0.71,0.0
ACADEMY,Academy Press,120.0,1.91,0.0
ACCESSCORP,Access Holdings Plc,28553264.0,16.6,0.6
AFRINSURE,African Alliance Insurance,,0.2,
AFRIPRUD,Africa Prudential Plc,685428.0,6.7,0.6
AFROMEDIA,Afromedia Plc,,0.24,
AIICO,Aiico Insurance Plc,1526439.0,1.0,0.0
AIRTELAFRI,Airtel Africa Plc,112.0,2200.0,0.0
ALEX,Aluminium Extrusion Industries,,7.15,
ARBICO,Arbico Plc,,1.03,
ASOSAVINGS,Aso Savings & Loans,,0.5,
AUSTINLAZ,Austin Laz & Company,200.0,2.03,0.0
BAPLC,Briclinks Africa Plc,,6.25,
BERGER,Berger Paints,66090.0,15.2,0.0
BETAGLAS,Beta Glass Company,98.0,59.4,0.0
BUACEMENT,BUA Cement Plc,10469.0,143.2,0.0
BUAFOODS,BUA Foods,1395.0,379.9,0.0
CADBURY,Cadbury Nigeria,441720.0,17.8,-1.2
CAP,CAP Plc,6233.0,28.85,0.0
CAPOIL,Capital Oil Plc,,0.2,
CAVERTON,Caverton Offshore Support Group,980250.0,1.46,0.0
CHAMPION,Champion Breweries,835902.0,3.68,0.0
CHAMS,Chams Plc,8263336.0,1.85,0.16
CHELLARAM,Chellarams Plc,253.0,4.1,0.0
CILEASING,C&I Leasing Plc,22304.0,3.7,0.0
CONHALLPLC,Consolidated Hallmark Holdings,5000.0,1.28,0.0
CONOIL,Conoil Plc,5938.0,90.9,0.0
CORNERST,Cornerstone Insurance Company,164691.0,1.85,0.0
CUSTODIAN,Custodian & Allied Plc,59508.0,8.6,0.0
CUTIX,Cutix Plc,640338.0,2.85,-0.15
CWG,Computer Warehouse Group,1011000.0,5.6,0.4
DAARCOMM,Daar Communications,4520.0,0.69,0.0
DANGCEM,Dangote Cement,10592.0,656.7,0.0
DANGSUGAR,Dangote Sugar Refinery,82496.0,48.0,0.0
DEAPCAP,Deap Capital Management & Trust,98424.0,0.59,0.0
DUNLOP,DN Tyre & Rubber Plc,,0.2,
EKOCORP,Ekocorp Plc,,5.79,
ELLAHLAKES,Ellah Lakes Plc,315882.0,3.2,-0.1
ENAMELWA,Nigerian Enamelware Plc,28.0,19.3,0.0
ETERNA,Eterna Plc,206940.0,15.25,0.0
ETI,Ecobank Transnational Inc,37829.0,26.0,0.0
ETRANZACT,E-Tranzact International,6785.0,6.25,0.0
EUNISELL,Eunisell Interlinked Plc,,3.2,
FBNH,FBN Holdings Plc,7740815.0,20.35,1.85
FCMB,FCMB Group Plc,2401954.0,6.85,-0.15
FIDELITYBK,Fidelity Bank Plc,8704848.0,9.4,0.4
FIDSON,Fidson Healthcare,17066.0,14.35,0.0
FLOURMILL,Flour Mills Nigeria,77187.0,30.5,0.0
FTNCOCOA,FTN Cocoa Processors,133974.0,1.45,0.0
GEREGU,Geregu Power Plc,782.0,1000.0,0.0
GOLDBREW,Golden Guinea Breweries,10000.0,3.15,0.0
GOLDINSURE,Goldlink Insurance,,0.2,
GTCO,Guaranty Trust Holding,16548123.0,35.5,-0.45
GUINEAINS,Guinea Insurance,1182000.0,0.32,0.0
GUINNESS,Guinness Nigeria,393867.0,54.0,0.0
HONYFLOUR,Honeywell Flour Mill,260503.0,3.19,0.0
IKEJAHOTEL,Ikeja Hotel Plc,162697.0,7.26,0.0
IMG,Industrial & Medical Gases,16076.0,13.75,0.0
INFINITY,Infinity Trust Mortgage Bank,,7.04,
INTBREW,International Breweries,722029.0,4.5,0.0
INTENEGINS,International Energy Insurance,1437247.0,1.28,0.11
JAIZBANK,Jaiz Bank Plc,3023455.0,2.02,0.08
JAPAULGOLD,Japaul Gold and Ventures Plc,5706869.0,1.91,-0.14
JBERGER,Julius Berger Nigeria Plc,47251.0,58.5,0.0
JOHNHOLT,John Holt Plc,,1.98,
JULI,Juli Plc,943.0,9.49,0.0
LASACO,Lasaco Assurance,165757.0,2.0,0.0
LEARNAFRCA,Learn Africa,28645.0,3.0,0.0
LINKASSURE,Linkage Assurance,50038.0,0.95,0.0
LIVESTOCK,Livestock Feeds,2452376.0,1.66,0.15
LIVINGTRUST,LivingTrust Mortgage Bank,,3.27,
MANSARD,AXA Mansard Insurance,68333.0,5.44,0.0
MAYBAKER,May & Baker Nigeria,120650.0,6.0,0.0
MBENEFIT,Mutual Benefits Assurance,1423682.0,0.56,0.0
MCNICHOLS,McNichols Plc,208345.0,1.26,0.0
MECURE,MeCure Industries,5465.0,9.72,0.0
MEDVIEWAIR,Medview Airline Plc,,1.62,
MEYER,Meyer Plc,2000.0,5.6,0.0
MORISON,Morison Industries,3683.0,3.72,0.0
MRS,MRS Oil Nigeria,2011.0,135.0,0.0
MTNN,MTN Nigeria,615109.0,202.0,0.0
MULTITREX,Multi-Trex Integrated Foods,,0.36,
MULTIVERSE,Multiverse Mining & Exploration,50.0,13.75,0.0
NAHCO,Nigerian Aviation Handling Co.,1688598.0,33.0,0.0
NASCON,National Salt Company,9625.0,52.55,0.0
NB,Nigerian Breweries,15589986.0,26.8,-0.8
NCR,NCR Nigeria,33.0,4.32,0.0
NEIMETH,Neimeth International Pharma,112656.0,1.98,0.0
NEM,N.E.M. Insurance Company,6586.0,10.35,0.0
NESTLE,Nestle Nigeria,685869.0,795.3,-24.7
NGXGROUP,Nigerian Exchange Group,604464.0,23.1,2.1
NIDF,Nigeria Infrastructure Debt Fund,5191.0,114.0,0.0
NIGERINS,Niger Insurance Company,,0.2,
NNFM,Northern Nigeria Flour Mills,20.0,48.3,0.0
NOTORE,Notore Chemical Industries Plc,,62.5,
NPFMCRFBK,NPF Microfinance Bank,323188.0,1.68,0.08
NSLTECH,Secure Electronic Technology,12300.0,0.6,0.0
OANDO,Oando Plc,4230395.0,9.25,-0.05
OKOMUOIL,Okomu Oil Palm,43502.0,232.5,-14.0
OMATEK,Omatek Ventures,722053.0,0.78,0.02
PHARMDEKO,Pharma-Deko Plc,,1.83,
PREMPAINTS,Premier Paints,,10.0,
PRESCO,Presco Plc,1709.0,231.5,0.0
PRESTIGE,Prestige Assurance Company,1176022.0,0.59,-0.01
PZ,PZ Cussons Nigeria,1815.0,38.0,0.0
RAKUNITY,RAK Unity Petroleum Company,,0.3,
REDSTAREX,Red Star Express Plc,8650.0,3.38,0.0
REGALINS,Regency Alliance Insurance,1135099.0,0.37,-0.04
RESORTSAL,Resort Savings & Loans,,0.2,
RONCHESS,Ronchess Global Resources,,81.0,
ROYALEX,Royal Exchange,531359.0,0.63,0.02
RTBRISCOE,RT Briscoe,185268.0,0.58,-0.01
SCOA,SCOA Nigeria,10000.0,2.15,0.0
SEPLAT,Seplat Petroleum Development Co.,229.0,3370.0,0.0
SFSREIT,Skye Shelter Fund Plc,250.0,101.35,0.0
SKYAVN,Skyway Aviation Handling Co. Plc,1423.0,22.95,0.0
SMURFIT,Smart Products Nigeria,,0.2,
SOVRENINS,Sovereign Trust Insurance,1018499.0,0.36,-0.04
STACO,Standard Trust Assurance,,0.48,
STANBIC,Stanbic IBTC Holdings,1119025.0,49.5,4.5
STDINSURE,Standard Alliance Insurance,,0.2,
STERLINGNG,Sterling Bank,826742.0,3.82,0.0
SUNUASSUR,Sunu Assurances Nigeria Plc,465005.0,1.25,-0.05
TANTALIZER,Tantalizers Plc,978050.0,0.33,-0.02
THOMASWY,Thomas Wyatt Nigeria,213470.0,1.78,0.0
TIP,The Initiates Plc,26545888.0,1.8,0.0
TOTAL,Total Nigeria,9975.0,321.5,0.0
TOURIST,Tourist Company of Nigeria,,2.5,
TRANSCOHOT,Transcorp Hotels Plc,6630.0,96.5,0.0
TRANSCORP,Transcorp Nigeria,14052922.0,14.0,0.0
TRANSEXPR,Trans-Nationwide Express,300.0,1.26,0.0
TRANSPOWER,Transcorp Power,470793.0,373.9,0.0
TRIPPLEG,Tripple Gee & Co. Plc,,4.13,
UACN,UAC of Nigeria,647874.0,12.4,0.6
UBA,United Bank for Africa,42350823.0,23.0,0.2
UCAP,United Capital Plc,1585345.0,16.65,0.05
UHOMREIT,Union Homes Real Estate Inv.,2000.0,36.6,0.0
UNHOMES,Union Homes Savings & Loans,,3.02,
UNILEVER,Unilever Nigeria,605666.0,15.1,0.0
UNIONDICON,Union Dicon Salt,125.0,8.1,0.0
UNITYBNK,Unity Bank,367186.0,1.69,-0.14
UNIVINSURE,Universal Insurance Company,11425969.0,0.36,-0.01
UPDC,UPDC Plc,3836934.0,1.35,0.0
UPDCREIT,UPDC Real Estate Investment Trust,743878.0,4.05,0.0
UPL,University Press,1500.0,2.46,0.0
VANLEER,Greif Nigeria,,5.45,
VERITASKAP,Veritas Kapital Assurance Plc,97862.0,0.6,0.0
VFDGROUP,VFD Group,,202.9,
VITAFOAM,Vitafoam Nigeria,1449531.0,18.85,1.7
WAPCO,Lafarge Wapco,474120.0,36.0,0.0
WAPIC,Wapic Insurance,28562.0,0.69,0.0
WEMABANK,Wema Bank,6925008.0,6.25,-0.45
ZENITHBANK,Zenith Bank Plc,23935981.0,32.6,-3.8
